cycle_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
277,5526,5508,5490,5472,5454,5436,5418,5400,5391,5409,5427,5445,5463,5481,5499
278,5589,5616,5598,5571,,,,,,,,,,,
279,5598,5571,5589,5616,,,,,,,,,,,
280,5661,5679,5706,5688,,,,,,,,,,,
281,5616,5598,5571,5589,,,,,,,,,,,
282,5679,5706,5688,5661,,,,,,,,,,,
283,5688,5661,5679,5706,,,,,,,,,,,
284,5706,5688,5661,5679,,,,,,,,,,,
285,5769,5796,,,,,,,,,,,,,
286,5796,5769,,,,,,,,,,,,,
287,5859,5886,,,,,,,,,,,,,
288,5886,5859,,,,,,,,,,,,,
289,5949,5976,,,,,,,,,,,,,
290,5967,5994,,,,,,,,,,,,,
291,5976,5949,,,,,,,,,,,,,
292,6012,6003,,,,,,,,,,,,,
293,5994,5967,,,,,,,,,,,,,
294,6003,6012,,,,,,,,,,,,,
295,6021,6030,,,,,,,,,,,,,
296,6030,6021,,,,,,,,,,,,,
297,6111,6120,,,,,,,,,,,,,
298,6120,6111,,,,,,,,,,,,,
299,6201,6210,,,,,,,,,,,,,
300,6210,6201,,,,,,,,,,,,,
301,6291,6309,6327,6345,6363,6381,6399,6426,6408,6390,6372,6354,6336,6318,6300
302,6300,6291,6309,6327,6345,6363,6381,6399,6426,6408,6390,6372,6354,6336,6318
303,6309,6327,6345,6363,6381,6399,6426,6408,6390,6372,6354,6336,6318,6300,6291
304,6318,6300,6291,6309,6327,6345,6363,6381,6399,6426,6408,6390,6372,6354,6336
305,6327,6345,6363,6381,6399,6426,6408,6390,6372,6354,6336,6318,6300,6291,6309
306,6336,6318,6300,6291,6309,6327,6345,6363,6381,6399,6426,6408,6390,6372,6354
307,6345,6363,6381,6399,6426,6408,6390,6372,6354,6336,6318,6300,6291,6309,6327
308,6354,6336,6318,6300,6291,6309,6327,6345,6363,6381,6399,6426,6408,6390,6372
309,6363,6381,6399,6426,6408,6390,6372,6354,6336,6318,6300,6291,6309,6327,6345
310,6372,6354,6336,6318,6300,6291,6309,6327,6345,6363,6381,6399,6426,6408,6390
311,6381,6399,6426,6408,6390,6372,6354,6336,6318,6300,6291,6309,6327,6345,6363
312,6390,6372,6354,6336,6318,6300,6291,6309,6327,6345,6363,6381,6399,6426,6408
313,6399,6426,6408,6390,6372,6354,6336,6318,6300,6291,6309,6327,6345,6363,6381
314,6408,6390,6372,6354,6336,6318,6300,6291,6309,6327,6345,6363,6381,6399,6426
315,6471,6489,6516,6498,,,,,,,,,,,
316,6426,6408,6390,6372,6354,6336,6318,6300,6291,6309,6327,6345,6363,6381,6399
317,6489,6516,6498,6471,,,,,,,,,,,
318,6498,6471,6489,6516,,,,,,,,,,,
319,6561,6579,6606,6588,,,,,,,,,,,
320,6516,6498,6471,6489,,,,,,,,,,,
321,6579,6606,6588,6561,,,,,,,,,,,
322,6588,6561,6579,6606,,,,,,,,,,,
323,6606,6588,6561,6579,,,,,,,,,,,
324,6669,6696,,,,,,,,,,,,,
325,6696,6669,,,,,,,,,,,,,
326,6759,6786,,,,,,,,,,,,,
327,6786,6759,,,,,,,,,,,,,
328,6849,6876,,,,,,,,,,,,,
329,6867,6894,,,,,,,,,,,,,
330,6876,6849,,,,,,,,,,,,,
331,6894,6867,,,,,,,,,,,,,
332,6939,6966,,,,,,,,,,,,,
333,6957,6984,,,,,,,,,,,,,
334,6966,6939,,,,,,,,,,,,,
335,7020,7011,,,,,,,,,,,,,
336,6984,6957,,,,,,,,,,,,,
337,7011,7020,,,,,,,,,,,,,
338,7101,7110,,,,,,,,,,,,,
339,7110,7101,,,,,,,,,,,,,
340,7191,7209,7227,7245,7263,7281,7299,7326,7308,7290,7272,7254,7236,7218,7200
341,7200,7191,7209,7227,7245,7263,7281,7299,7326,7308,7290,7272,7254,7236,7218
342,7209,7227,7245,7263,7281,7299,7326,7308,7290,7272,7254,7236,7218,7200,7191
343,7218,7200,7191,7209,7227,7245,7263,7281,7299,7326,7308,7290,7272,7254,7236
344,7227,7245,7263,7281,7299,7326,7308,7290,7272,7254,7236,7218,7200,7191,7209
345,7236,7218,7200,7191,7209,7227,7245,7263,7281,7299,7326,7308,7290,7272,7254
346,7245,7263,7281,7299,7326,7308,7290,7272,7254,7236,7218,7200,7191,7209,7227
347,7254,7236,7218,7200,7191,7209,7227,7245,7263,7281,7299,7326,7308,7290,7272
348,7263,7281,7299,7326,7308,7290,7272,7254,7236,7218,7200,7191,7209,7227,7245
349,7272,7254,7236,7218,7200,7191,7209,7227,7245,7263,7281,7299,7326,7308,7290
350,7281,7299,7326,7308,7290,7272,7254,7236,7218,7200,7191,7209,7227,7245,7263
351,7290,7272,7254,7236,7218,7200,7191,7209,7227,7245,7263,7281,7299,7326,7308
352,7299,7326,7308,7290,7272,7254,7236,7218,7200,7191,7209,7227,7245,7263,7281
353,7308,7290,7272,7254,7236,7218,7200,7191,7209,7227,7245,7263,7281,7299,7326
354,7371,7389,7416,7398,,,,,,,,,,,
355,7326,7308,7290,7272,7254,7236,7218,7200,7191,7209,7227,7245,7263,7281,7299
356,7389,7416,7398,7371,,,,,,,,,,,
357,7398,7371,7389,7416,,,,,,,,,,,
358,7461,7479,7506,7488,,,,,,,,,,,
359,7416,7398,7371,7389,,,,,,,,,,,
360,7479,7506,7488,7461,,,,,,,,,,,
361,7488,7461,7479,7506,,,,,,,,,,,
362,7506,7488,7461,7479,,,,,,,,,,,
363,7569,7596,,,,,,,,,,,,,
364,7596,7569,,,,,,,,,,,,,
365,7659,7686,,,,,,,,,,,,,
366,7686,7659,,,,,,,,,,,,,
367,7749,7776,,,,,,,,,,,,,
368,7767,7794,,,,,,,,,,,,,
369,7776,7749,,,,,,,,,,,,,
370,7794,7767,,,,,,,,,,,,,
371,7839,7866,,,,,,,,,,,,,
372,7857,7884,,,,,,,,,,,,,
373,7866,7839,,,,,,,,,,,,,
374,7884,7857,,,,,,,,,,,,,
375,7929,7956,,,,,,,,,,,,,
376,7947,7974,,,,,,,,,,,,,
377,7956,7929,,,,,,,,,,,,,
378,7965,7992,,,,,,,,,,,,,
379,7974,7947,,,,,,,,,,,,,
380,8010,8001,,,,,,,,,,,,,
381,7992,7965,,,,,,,,,,,,,
382,8001,8010,,,,,,,,,,,,,
383,8091,8109,8127,8145,8163,8181,8199,8226,8208,8190,8172,8154,8136,8118,8100
384,8100,8091,8109,8127,8145,8163,8181,8199,8226,8208,8190,8172,8154,8136,8118
385,8109,8127,8145,8163,8181,8199,8226,8208,8190,8172,8154,8136,8118,8100,8091
386,8118,8100,8091,8109,8127,8145,8163,8181,8199,8226,8208,8190,8172,8154,8136
387,8127,8145,8163,8181,8199,8226,8208,8190,8172,8154,8136,8118,8100,8091,8109
388,8136,8118,8100,8091,8109,8127,8145,8163,8181,8199,8226,8208,8190,8172,8154
389,8145,8163,8181,8199,8226,8208,8190,8172,8154,8136,8118,8100,8091,8109,8127
390,8154,8136,8118,8100,8091,8109,8127,8145,8163,8181,8199,8226,8208,8190,8172
391,8163,8181,8199,8226,8208,8190,8172,8154,8136,8118,8100,8091,8109,8127,8145
392,8172,8154,8136,8118,8100,8091,8109,8127,8145,8163,8181,8199,8226,8208,8190
393,8181,8199,8226,8208,8190,8172,8154,8136,8118,8100,8091,8109,8127,8145,8163
394,8190,8172,8154,8136,8118,8100,8091,8109,8127,8145,8163,8181,8199,8226,8208
395,8199,8226,8208,8190,8172,8154,8136,8118,8100,8091,8109,8127,8145,8163,8181
396,8208,8190,8172,8154,8136,8118,8100,8091,8109,8127,8145,8163,8181,8199,8226
397,8271,8289,8316,8298,,,,,,,,,,,
398,8226,8208,8190,8172,8154,8136,8118,8100,8091,8109,8127,8145,8163,8181,8199
399,8289,8316,8298,8271,,,,,,,,,,,
400,8298,8271,8289,8316,,,,,,,,,,,
401,8361,8379,8406,8388,,,,,,,,,,,
402,8316,8298,8271,8289,,,,,,,,,,,
403,8379,8406,8388,8361,,,,,,,,,,,
404,8388,8361,8379,8406,,,,,,,,,,,
405,8406,8388,8361,8379,,,,,,,,,,,
406,8469,8496,,,,,,,,,,,,,
407,8496,8469,,,,,,,,,,,,,
408,8559,8586,,,,,,,,,,,,,
409,8586,8559,,,,,,,,,,,,,
410,8649,8676,,,,,,,,,,,,,
411,8667,8694,,,,,,,,,,,,,
412,8676,8649,,,,,,,,,,,,,
413,8694,8667,,,,,,,,,,,,,
414,8739,8766,,,,,,,,,,,,,
415,8757,8784,,,,,,,,,,,,,
416,8766,8739,,,,,,,,,,,,,
417,8784,8757,,,,,,,,,,,,,
418,8829,8856,,,,,,,,,,,,,
419,8847,8874,,,,,,,,,,,,,
420,8856,8829,,,,,,,,,,,,,
421,8865,8892,,,,,,,,,,,,,
422,8874,8847,,,,,,,,,,,,,
423,8892,8865,,,,,,,,,,,,,
424,8919,8946,,,,,,,,,,,,,
425,8937,8964,,,,,,,,,,,,,
426,8946,8919,,,,,,,,,,,,,
427,8955,8982,,,,,,,,,,,,,
428,8964,8937,,,,,,,,,,,,,
429,9000,8991,9018,,,,,,,,,,,,
430,8982,8955,,,,,,,,,,,,,
431,8991,9018,9000,,,,,,,,,,,,
432,9018,9000,8991,,,,,,,,,,,,
433,9171,9189,9216,9198,,,,,,,,,,,
434,9189,9216,9198,9171,,,,,,,,,,,
435,9198,9171,9189,9216,,,,,,,,,,,
436,9261,9279,9306,9288,,,,,,,,,,,
437,9216,9198,9171,9189,,,,,,,,,,,
438,9279,9306,9288,9261,,,,,,,,,,,
439,9288,9261,9279,9306,,,,,,,,,,,
440,9306,9288,9261,9279,,,,,,,,,,,
441,9369,9396,,,,,,,,,,,,,
442,9396,9369,,,,,,,,,,,,,
443,9459,9486,,,,,,,,,,,,,
444,9486,9459,,,,,,,,,,,,,
445,9549,9576,,,,,,,,,,,,,
446,9567,9594,,,,,,,,,,,,,
447,9576,9549,,,,,,,,,,,,,
448,9594,9567,,,,,,,,,,,,,
449,9639,9666,,,,,,,,,,,,,
450,9657,9684,,,,,,,,,,,,,
451,9666,9639,,,,,,,,,,,,,
452,9684,9657,,,,,,,,,,,,,
453,9729,9756,,,,,,,,,,,,,
454,9747,9774,,,,,,,,,,,,,
455,9756,9729,,,,,,,,,,,,,
456,9765,9792,,,,,,,,,,,,,
457,9774,9747,,,,,,,,,,,,,
458,9792,9765,,,,,,,,,,,,,
459,9819,9846,,,,,,,,,,,,,
460,9837,9864,,,,,,,,,,,,,
461,9846,9819,,,,,,,,,,,,,
462,9855,9882,,,,,,,,,,,,,
463,9864,9837,,,,,,,,,,,,,
464,9882,9855,,,,,,,,,,,,,
